Category,Description,NutrientDataBankNumber,Alpha Carotene,Beta Carotene,Beta Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Niacin,Protein,Retinol,Riboflavin,Selenium,SugarTotal,Water,Monosaturated_Fat,Polysaturated_Fat
Milk,"Milk, human",11000000,0,7,0,6.89,14,16,0,0.177,1.03,60,0.036,1.8,6.89,87.5,1.658,0.497
Milk,"Milk, NFS",11100000,0,4,0,4.87,8,17.9,0,0.11,3.34,58,0.137,1.9,4.89,89.04,0.426,0.065
Milk,"Milk, whole",11111000,0,7,0,4.67,12,17.8,0,0.105,3.28,31,0.138,1.9,4.81,88.1,0.688,0.108
Milk,"Milk, low sodium, whole",11111100,0,7,0,4.46,14,16,0,0.043,3.1,28,0.105,2,4.46,88.2,0.999,0.128
Milk,"Milk, calcium fortified, whole",11111150,0,7,0,4.67,12,17.8,0,0.105,3.28,31,0.138,1.9,4.81,88.1,0.688,0.108
Milk,"Milk, calcium fortified, low fat (1%)",11111160,0,1,0,5.19,5,17.4,0,0.113,3.38,58,0.14,2.1,4.96,89.7,0.21,0.032
Milk,"Milk, calcium fortified, fat free (skim)",11111170,0,0,0,4.85,2,16,0,0.088,3.4,137,0.14,2.1,4.85,90.8,0.047,0.007
Milk,"Milk, reduced fat (2%)",11112110,0,3,0,4.91,8,18.2,0,0.112,3.35,83,0.137,1.8,4.89,89.1,0.4,0.058
Milk,"Milk, acidophilus, low fat (1%)",11112120,0,1,0,5.19,5,17.4,0,0.113,3.38,58,0.14,2.1,4.96,89.7,0.21,0.032
Milk,"Milk, acidophilus, reduced fat (2%)",11112130,0,3,0,4.91,8,18.2,0,0.112,3.35,83,0.137,1.8,4.89,89.1,0.4,0.058
Milk,"Milk, low fat (1%)",11112210,0,1,0,5.19,5,17.4,0,0.113,3.38,58,0.14,2.1,4.96,89.7,0.21,0.032
Milk,"Milk, fat free (skim)",11113000,0,2,0,4.89,3,18.2,0,0.118,3.43,64,0.131,2,5.05,90.8,0.017,0.006
Milk,"Milk, lactose free, low fat (1%)",11114300,0,1,0,5.19,5,17.4,0,0.113,3.38,58,0.14,2.1,4.96,89.7,0.21,0.032
Milk,"Milk, lactose free, fat free (skim)",11114320,0,2,0,4.89,3,18.2,0,0.118,3.43,64,0.131,2,5.05,90.8,0.017,0.006
Milk,"Milk, lactose free, reduced fat (2%)",11114330,0,3,0,4.91,8,18.2,0,0.112,3.35,83,0.137,1.8,4.89,89.1,0.4,0.058
Milk,"Milk, lactose free, whole",11114350,0,7,0,4.67,12,17.8,0,0.105,3.28,31,0.138,1.9,4.81,88.1,0.688,0.108
Buttermilk,"Buttermilk, fat free (skim)",11115000,0,1,0,4.79,4,17.7,0,0.058,3.31,13,0.154,2,4.79,90.13,0.254,0.033
Buttermilk,"Buttermilk, low fat (1%)",11115100,0,1,0,4.79,4,17.7,0,0.058,3.31,13,0.154,2,4.79,90.13,0.254,0.033
Buttermilk,"Buttermilk, reduced fat (2%)",11115200,0,3,0,5.3,8,16,0,0.1,4.1,16,0.21,2.3,5.3,87.7,0.576,0.071
Buttermilk,"Buttermilk, whole",11115300,0,7,0,4.88,11,14.6,0,0.09,3.21,46,0.172,3.7,4.88,87.91,0.827,0.198
Kefir,"Kefir, NS as to fat content",11115400,0,2,0,7.48,5,15.2,0,0.128,3.59,174,0.172,3.6,6.91,87.26,0.286,0.047
Goat's milk,"Goat's milk, whole",11116000,0,7,0,4.45,11,16,0,0.277,3.56,56,0.138,1.4,4.45,87.03,1.109,0.149
Milk,"Milk, dry, reconstituted, NS as to fat content",11120000,0,0,0,4.6,2,15,0,0.084,3.2,58,0.137,2.4,4.6,91.34,0.018,0.003
Milk,"Milk, dry, reconstituted, whole",11121100,0,8,0,5.86,15,18.2,0,0.099,4.01,39,0.184,2.5,5.86,85.04,1.209,0.101
Milk,"Milk, dry, reconstituted, low fat (1%)",11121210,0,2,0,4.55,4,15,0,0.083,3.17,65,0.136,2.4,4.55,90.48,0.291,0.038
Milk,"Milk, dry, reconstituted, fat free (skim)",11121300,0,0,0,4.6,2,15,0,0.084,3.2,1,0.137,2.4,4.6,91.34,0.018,0.003
Milk,"Milk, evaporated, NS as to fat content",11210050,0,12,0,10.04,29,31.8,0,0.194,6.81,64,0.316,2.3,10.04,74.04,2.335,0.245
Milk,"Milk, evaporated, whole",11211050,0,12,0,10.04,29,31.8,0,0.194,6.81,64,0.316,2.3,10.04,74.04,2.335,0.245
Milk,"Milk, evaporated, reduced fat (2%)",11211400,0,3,0,11.15,8,25.1,0,0.171,7.42,130,0.304,2.5,11.15,78,0.569,0.071
Milk,"Milk, evaporated, fat free (skim)",11212050,0,0,0,11.35,4,25.2,0,0.174,7.55,118,0.309,2.5,11.35,79.4,0.062,0.006
Milk,"Milk, condensed, sweetened",11220000,0,14,0,54.4,34,89.1,0,0.21,7.91,73,0.416,14.8,54.4,27.16,2.427,0.337
Non-dairy milk,"Non-dairy milk, NFS",11300100,0,1,0,3.75,0,9,0.2,0.171,1.04,77,0.062,0.8,3.03,93.33,0.485,0.408
Soy milk,Soy milk,11320000,0,2,0,4.92,0,23.6,0.2,0.425,2.6,55,0.184,2.3,3.65,90.36,0.382,0.858
Soy milk,"Soy milk, light",11320100,0,1,0,3.51,0,12.3,0.3,0.222,2.38,61,0.201,2.3,2.61,92.69,0.202,0.426
Soy milk,"Soy milk, nonfat",11320200,0,1,0,4.14,0,17.9,0.2,0.323,2.47,61,0.174,1.8,3.65,92.67,0,0.036
Soy milk,"Soy milk, chocolate",11321000,0,2,0,9.95,0,23.6,0.4,0.513,2.26,70,0.262,4.8,7.86,85.61,0.379,0.836
Soy milk,"Soy milk, light, chocolate",11321100,0,2,0,8.24,0,28.4,0.7,0.512,2.1,61,0.201,1.7,7.13,88.38,0.037,0.405
Soy milk,"Soy milk, nonfat, chocolate",11321200,0,2,0,8.24,0,28.4,0.7,0.512,2.1,61,0.201,1.7,7.13,88.38,0.037,0.405
Almond milk,"Almond milk, sweetened",11350000,0,0,0,5.24,0,3,0.2,0.067,0.38,86,0.01,0.1,4.77,92.68,0.566,0.23
Almond milk,"Almond milk, sweetened, chocolate",11350010,0,0,0,8.34,0,2.9,0.3,0.071,0.43,83,0.011,0.2,7.72,89.52,0.561,0.224
Almond milk,"Almond milk, unsweetened",11350020,0,0,0,1.31,0,3.1,0.2,0.07,0.4,90,0.01,0.1,0.81,96.54,0.59,0.24
Almond milk,"Almond milk, unsweetened, chocolate",11350030,0,0,0,1.48,0,3.1,0.3,0.076,0.46,90,0.011,0.1,0.81,96.26,0.602,0.241
Rice milk,Rice milk,11360000,0,0,0,9.17,0,2.1,0.3,0.39,0.28,63,0.142,2.2,5.28,89.28,0.625,0.313
Coconut milk,Coconut milk,11370000,0,0,0,2.92,0,0,0,0,0.21,63,0,0,2.5,94.57,0,0
Yogurt,"Yogurt, NFS",11400000,0,2,0,7.04,6,15.2,0,0.114,5.25,14,0.214,3.3,7.04,85.06,0.426,0.044
Yogurt,"Yogurt, Greek, NS as to type of milk or flavor",11400010,0,6,0,3.94,10,15.2,0,0.197,9.95,90,0.233,12.4,3.56,83.56,0.486,0.076
